,cantidad_pasos,date_number_ordinal1,Date,DateTime,lag1,sentido_prov,vehiculo_liv,time_of_day_afternoon,time_of_day_evening,time_of_day_morning,time_of_day_night,season_Autumn,season_Spring,season_Summer,season_Winter,non_working_non-working,non_working_working,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,holiday_0,holiday_1
0,1374.0,73633001,2017-01-01,2017-01-01 01:00:00,1.0,0.5,0.6666666666666666,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,1734.0,73633002,2017-01-01,2017-01-01 02:00:00,1374.0,0.5,0.6666666666666666,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
2,1247.0,73633003,2017-01-01,2017-01-01 03:00:00,1734.0,0.4285714285714285,0.5714285714285714,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3,579.0,73633004,2017-01-01,2017-01-01 04:00:00,1247.0,0.4,0.8,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
4,645.0,73633005,2017-01-01,2017-01-01 05:00:00,579.0,0.5714285714285714,0.5714285714285714,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
5,665.0,73633006,2017-01-01,2017-01-01 06:00:00,645.0,0.3333333333333333,0.4444444444444444,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
6,635.0,73633007,2017-01-01,2017-01-01 07:00:00,665.0,0.25,0.5,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
7,482.0,73633008,2017-01-01,2017-01-01 08:00:00,635.0,0.4545454545454545,0.3636363636363636,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
8,485.0,73633009,2017-01-01,2017-01-01 09:00:00,482.0,0.4166666666666667,0.3333333333333333,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
9,718.0,73633010,2017-01-01,2017-01-01 10:00:00,485.0,0.5,0.4,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
10,1110.0,73633011,2017-01-01,2017-01-01 11:00:00,718.0,0.3636363636363636,0.3636363636363636,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
11,1587.0,73633012,2017-01-01,2017-01-01 12:00:00,1110.0,0.5,0.3333333333333333,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
12,1630.0,73633013,2017-01-01,2017-01-01 13:00:00,1587.0,0.4545454545454545,0.3636363636363636,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
13,1293.0,73633014,2017-01-01,2017-01-01 14:00:00,1630.0,0.5,0.3333333333333333,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
14,1400.0,73633015,2017-01-01,2017-01-01 15:00:00,1293.0,0.4,0.4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
15,1650.0,73633016,2017-01-01,2017-01-01 16:00:00,1400.0,0.4166666666666667,0.4166666666666667,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
16,1901.0,73633017,2017-01-01,2017-01-01 17:00:00,1650.0,0.5,0.3333333333333333,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
17,2098.0,73633018,2017-01-01,2017-01-01 18:00:00,1901.0,0.5,0.3333333333333333,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
18,2359.0,73633019,2017-01-01,2017-01-01 19:00:00,2098.0,0.4615384615384615,0.3076923076923077,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
19,2223.0,73633020,2017-01-01,2017-01-01 20:00:00,2359.0,0.4545454545454545,0.3636363636363636,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
20,2019.0,73633021,2017-01-01,2017-01-01 21:00:00,2223.0,0.4,0.4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
21,1772.0,73633022,2017-01-01,2017-01-01 22:00:00,2019.0,0.5454545454545454,0.3636363636363636,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
22,1576.0,73633023,2017-01-01,2017-01-01 23:00:00,1772.0,0.5,0.3333333333333333,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
23,1151.0,73633100,2017-01-02,2017-01-02 00:00:00,1576.0,0.4444444444444444,0.4444444444444444,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
24,656.0,73633101,2017-01-02,2017-01-02 01:00:00,1151.0,0.4615384615384615,0.3076923076923077,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
25,487.0,73633102,2017-01-02,2017-01-02 02:00:00,656.0,0.3636363636363636,0.3636363636363636,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
26,467.0,73633103,2017-01-02,2017-01-02 03:00:00,487.0,0.4615384615384615,0.3076923076923077,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
27,636.0,73633104,2017-01-02,2017-01-02 04:00:00,467.0,0.5,0.3333333333333333,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
28,1284.0,73633105,2017-01-02,2017-01-02 05:00:00,636.0,0.4615384615384615,0.3076923076923077,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
29,2209.0,73633106,2017-01-02,2017-01-02 06:00:00,1284.0,0.4285714285714285,0.2857142857142857,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
30,3035.0,73633107,2017-01-02,2017-01-02 07:00:00,2209.0,0.4,0.2666666666666666,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
31,3328.0,73633108,2017-01-02,2017-01-02 08:00:00,3035.0,0.3571428571428571,0.2857142857142857,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
32,3103.0,73633109,2017-01-02,2017-01-02 09:00:00,3328.0,0.4285714285714285,0.2857142857142857,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
33,2978.0,73633110,2017-01-02,2017-01-02 10:00:00,3103.0,0.3846153846153846,0.3076923076923077,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
34,2850.0,73633111,2017-01-02,2017-01-02 11:00:00,2978.0,0.3333333333333333,0.3333333333333333,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
35,2848.0,73633112,2017-01-02,2017-01-02 12:00:00,2850.0,0.4,0.2666666666666666,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
36,2868.0,73633113,2017-01-02,2017-01-02 13:00:00,2848.0,0.3333333333333333,0.3333333333333333,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
37,3039.0,73633114,2017-01-02,2017-01-02 14:00:00,2868.0,0.3846153846153846,0.3076923076923077,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
38,3077.0,73633115,2017-01-02,2017-01-02 15:00:00,3039.0,0.4615384615384615,0.3076923076923077,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
39,3030.0,73633116,2017-01-02,2017-01-02 16:00:00,3077.0,0.3529411764705882,0.2941176470588235,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
40,3308.0,73633117,2017-01-02,2017-01-02 17:00:00,3030.0,0.3846153846153846,0.3076923076923077,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
41,3134.0,73633118,2017-01-02,2017-01-02 18:00:00,3308.0,0.4666666666666667,0.2666666666666666,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
42,2256.0,73633119,2017-01-02,2017-01-02 19:00:00,3134.0,0.3333333333333333,0.2666666666666666,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
43,1978.0,73633120,2017-01-02,2017-01-02 20:00:00,2256.0,0.4,0.2666666666666666,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
44,1604.0,73633121,2017-01-02,2017-01-02 21:00:00,1978.0,0.4545454545454545,0.3636363636363636,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
45,1283.0,73633122,2017-01-02,2017-01-02 22:00:00,1604.0,0.4545454545454545,0.3636363636363636,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
46,959.0,73633123,2017-01-02,2017-01-02 23:00:00,1283.0,0.3846153846153846,0.3076923076923077,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
47,743.0,73633200,2017-01-03,2017-01-03 00:00:00,959.0,0.4,0.4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
48,457.0,73633201,2017-01-03,2017-01-03 01:00:00,743.0,0.5,0.2857142857142857,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
49,307.0,73633202,2017-01-03,2017-01-03 02:00:00,457.0,0.4,0.4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
50,324.0,73633203,2017-01-03,2017-01-03 03:00:00,307.0,0.3333333333333333,0.3333333333333333,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
51,466.0,73633204,2017-01-03,2017-01-03 04:00:00,324.0,0.4,0.4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
52,967.0,73633205,2017-01-03,2017-01-03 05:00:00,466.0,0.4615384615384615,0.3076923076923077,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
53,1985.0,73633206,2017-01-03,2017-01-03 06:00:00,967.0,0.4285714285714285,0.2857142857142857,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
54,3145.0,73633207,2017-01-03,2017-01-03 07:00:00,1985.0,0.4285714285714285,0.2857142857142857,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
55,3478.0,73633208,2017-01-03,2017-01-03 08:00:00,3145.0,0.3846153846153846,0.3076923076923077,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
56,3331.0,73633209,2017-01-03,2017-01-03 09:00:00,3478.0,0.4285714285714285,0.2857142857142857,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
57,3344.0,73633210,2017-01-03,2017-01-03 10:00:00,3331.0,0.3846153846153846,0.3076923076923077,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
58,3145.0,73633211,2017-01-03,2017-01-03 11:00:00,3344.0,0.3846153846153846,0.3076923076923077,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
59,3021.0,73633212,2017-01-03,2017-01-03 12:00:00,3145.0,0.4615384615384615,0.3076923076923077,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
60,2971.0,73633213,2017-01-03,2017-01-03 13:00:00,3021.0,0.3571428571428571,0.2857142857142857,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
61,3113.0,73633214,2017-01-03,2017-01-03 14:00:00,2971.0,0.3846153846153846,0.3076923076923077,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
62,2957.0,73633215,2017-01-03,2017-01-03 15:00:00,3113.0,0.4615384615384615,0.3076923076923077,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
63,3123.0,73633216,2017-01-03,2017-01-03 16:00:00,2957.0,0.3846153846153846,0.3076923076923077,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
64,3360.0,73633217,2017-01-03,2017-01-03 17:00:00,3123.0,0.4285714285714285,0.2857142857142857,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
65,3198.0,73633218,2017-01-03,2017-01-03 18:00:00,3360.0,0.4166666666666667,0.3333333333333333,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
66,2213.0,73633219,2017-01-03,2017-01-03 19:00:00,3198.0,0.4615384615384615,0.3076923076923077,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
67,1944.0,73633220,2017-01-03,2017-01-03 20:00:00,2213.0,0.3846153846153846,0.3076923076923077,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
68,1555.0,73633221,2017-01-03,2017-01-03 21:00:00,1944.0,0.4285714285714285,0.2857142857142857,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
69,1119.0,73633222,2017-01-03,2017-01-03 22:00:00,1555.0,0.4545454545454545,0.3636363636363636,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
70,827.0,73633223,2017-01-03,2017-01-03 23:00:00,1119.0,0.4285714285714285,0.2857142857142857,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
71,638.0,73633300,2017-01-04,2017-01-04 00:00:00,827.0,0.2222222222222222,0.4444444444444444,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
