,year,month,day,Date,DateTime,hora_inicio,cantidad_pasos,sentido_prov,vehiculo_liv,weekday,season,hour,holiday,non_working,time_of_day
0,2017,1,1,2017-01-01,2017-01-01 00:00:00,0,1.0,0.0,1.0,Sunday,Summer,0,0,non-working,night
1,2017,1,1,2017-01-01,2017-01-01 01:00:00,1,1374.0,0.5,0.6666666666666666,Sunday,Summer,1,0,non-working,night
2,2017,1,1,2017-01-01,2017-01-01 02:00:00,2,1734.0,0.5,0.6666666666666666,Sunday,Summer,2,0,non-working,night
3,2017,1,1,2017-01-01,2017-01-01 03:00:00,3,1247.0,0.42857142857142855,0.5714285714285714,Sunday,Summer,3,0,non-working,night
4,2017,1,1,2017-01-01,2017-01-01 04:00:00,4,579.0,0.4,0.8,Sunday,Summer,4,0,non-working,night
5,2017,1,1,2017-01-01,2017-01-01 05:00:00,5,645.0,0.5714285714285714,0.5714285714285714,Sunday,Summer,5,0,non-working,night
6,2017,1,1,2017-01-01,2017-01-01 06:00:00,6,665.0,0.3333333333333333,0.4444444444444444,Sunday,Summer,6,0,non-working,night
7,2017,1,1,2017-01-01,2017-01-01 07:00:00,7,635.0,0.25,0.5,Sunday,Summer,7,0,non-working,morning
8,2017,1,1,2017-01-01,2017-01-01 08:00:00,8,482.0,0.45454545454545453,0.36363636363636365,Sunday,Summer,8,0,non-working,morning
9,2017,1,1,2017-01-01,2017-01-01 09:00:00,9,485.0,0.4166666666666667,0.3333333333333333,Sunday,Summer,9,0,non-working,morning
10,2017,1,1,2017-01-01,2017-01-01 10:00:00,10,718.0,0.5,0.4,Sunday,Summer,10,0,non-working,morning
11,2017,1,1,2017-01-01,2017-01-01 11:00:00,11,1110.0,0.36363636363636365,0.36363636363636365,Sunday,Summer,11,0,non-working,morning
12,2017,1,1,2017-01-01,2017-01-01 12:00:00,12,1587.0,0.5,0.3333333333333333,Sunday,Summer,12,0,non-working,morning
13,2017,1,1,2017-01-01,2017-01-01 13:00:00,13,1630.0,0.45454545454545453,0.36363636363636365,Sunday,Summer,13,0,non-working,afternoon
14,2017,1,1,2017-01-01,2017-01-01 14:00:00,14,1293.0,0.5,0.3333333333333333,Sunday,Summer,14,0,non-working,afternoon
15,2017,1,1,2017-01-01,2017-01-01 15:00:00,15,1400.0,0.4,0.4,Sunday,Summer,15,0,non-working,afternoon
16,2017,1,1,2017-01-01,2017-01-01 16:00:00,16,1650.0,0.4166666666666667,0.4166666666666667,Sunday,Summer,16,0,non-working,evening
17,2017,1,1,2017-01-01,2017-01-01 17:00:00,17,1901.0,0.5,0.3333333333333333,Sunday,Summer,17,0,non-working,evening
18,2017,1,1,2017-01-01,2017-01-01 18:00:00,18,2098.0,0.5,0.3333333333333333,Sunday,Summer,18,0,non-working,evening
19,2017,1,1,2017-01-01,2017-01-01 19:00:00,19,2359.0,0.46153846153846156,0.3076923076923077,Sunday,Summer,19,0,non-working,evening
20,2017,1,1,2017-01-01,2017-01-01 20:00:00,20,2223.0,0.45454545454545453,0.36363636363636365,Sunday,Summer,20,0,non-working,evening
21,2017,1,1,2017-01-01,2017-01-01 21:00:00,21,2019.0,0.4,0.4,Sunday,Summer,21,0,non-working,evening
22,2017,1,1,2017-01-01,2017-01-01 22:00:00,22,1772.0,0.5454545454545454,0.36363636363636365,Sunday,Summer,22,0,non-working,night
23,2017,1,1,2017-01-01,2017-01-01 23:00:00,23,1576.0,0.5,0.3333333333333333,Sunday,Summer,23,0,non-working,night
24,2017,1,2,2017-01-02,2017-01-02 00:00:00,0,1151.0,0.4444444444444444,0.4444444444444444,Monday,Summer,0,0,working,night
25,2017,1,2,2017-01-02,2017-01-02 01:00:00,1,656.0,0.46153846153846156,0.3076923076923077,Monday,Summer,1,0,working,night
26,2017,1,2,2017-01-02,2017-01-02 02:00:00,2,487.0,0.36363636363636365,0.36363636363636365,Monday,Summer,2,0,working,night
27,2017,1,2,2017-01-02,2017-01-02 03:00:00,3,467.0,0.46153846153846156,0.3076923076923077,Monday,Summer,3,0,working,night
28,2017,1,2,2017-01-02,2017-01-02 04:00:00,4,636.0,0.5,0.3333333333333333,Monday,Summer,4,0,working,night
29,2017,1,2,2017-01-02,2017-01-02 05:00:00,5,1284.0,0.46153846153846156,0.3076923076923077,Monday,Summer,5,0,working,night
30,2017,1,2,2017-01-02,2017-01-02 06:00:00,6,2209.0,0.42857142857142855,0.2857142857142857,Monday,Summer,6,0,working,night
31,2017,1,2,2017-01-02,2017-01-02 07:00:00,7,3035.0,0.4,0.26666666666666666,Monday,Summer,7,0,working,morning
32,2017,1,2,2017-01-02,2017-01-02 08:00:00,8,3328.0,0.35714285714285715,0.2857142857142857,Monday,Summer,8,0,working,morning
33,2017,1,2,2017-01-02,2017-01-02 09:00:00,9,3103.0,0.42857142857142855,0.2857142857142857,Monday,Summer,9,0,working,morning
34,2017,1,2,2017-01-02,2017-01-02 10:00:00,10,2978.0,0.38461538461538464,0.3076923076923077,Monday,Summer,10,0,working,morning
35,2017,1,2,2017-01-02,2017-01-02 11:00:00,11,2850.0,0.3333333333333333,0.3333333333333333,Monday,Summer,11,0,working,morning
36,2017,1,2,2017-01-02,2017-01-02 12:00:00,12,2848.0,0.4,0.26666666666666666,Monday,Summer,12,0,working,morning
37,2017,1,2,2017-01-02,2017-01-02 13:00:00,13,2868.0,0.3333333333333333,0.3333333333333333,Monday,Summer,13,0,working,afternoon
38,2017,1,2,2017-01-02,2017-01-02 14:00:00,14,3039.0,0.38461538461538464,0.3076923076923077,Monday,Summer,14,0,working,afternoon
39,2017,1,2,2017-01-02,2017-01-02 15:00:00,15,3077.0,0.46153846153846156,0.3076923076923077,Monday,Summer,15,0,working,afternoon
40,2017,1,2,2017-01-02,2017-01-02 16:00:00,16,3030.0,0.35294117647058826,0.29411764705882354,Monday,Summer,16,0,working,evening
41,2017,1,2,2017-01-02,2017-01-02 17:00:00,17,3308.0,0.38461538461538464,0.3076923076923077,Monday,Summer,17,0,working,evening
42,2017,1,2,2017-01-02,2017-01-02 18:00:00,18,3134.0,0.4666666666666667,0.26666666666666666,Monday,Summer,18,0,working,evening
43,2017,1,2,2017-01-02,2017-01-02 19:00:00,19,2256.0,0.3333333333333333,0.26666666666666666,Monday,Summer,19,0,working,evening
44,2017,1,2,2017-01-02,2017-01-02 20:00:00,20,1978.0,0.4,0.26666666666666666,Monday,Summer,20,0,working,evening
